Timestamp,What is your major?,Apple or Android?,Cats or Dogs?,Morning person?,How many pets do you have?,Right of Left Handed? ,How many days from today is your next birthday?,what's your favorite food?,how many hours a week do you play video games?,What is your birth month?,What languages do you speak?,Do you have experience with Python programming? ,"Which genres of music do you enjoy?
(Please select all that apply.)","On average, how many steps do you walk per day?",How much time do you spend commuting each week?,Do you prefer coffee or tea?
2024/09/04 6:27:50 PM AST,General - Stem,Android,Dogs,TRUE,0,Left,20,pizza,4,9,english,Yes,Rock;Electronic/Dance,300,10,Coffee
2024/09/04 6:28:00 PM AST,Business Analytics AA,Android,Neither,FALSE,2,Right,238,Braised pig tail,5,4,English,No,Pop;Hip-Hop/Rap;Jazz,3000,0,Coffee
2024/09/04 6:28:22 PM AST,STEM,Apple,Cats,TRUE,0,Right,30,rice,0,10,English,No,Pop;Hip-Hop/Rap;Jazz;Classical,5000,70,Both
2024/09/04 6:28:40 PM AST,Recent Accounting Grad - currently enrolled to Data Science,Apple,Dogs,FALSE,2,Right,142,Cuban Food,0,1,3,No,Pop;Hip-Hop/Rap;others,4000,3,Both
2024/09/04 6:28:50 PM AST,Business Analytics,Apple,Both,TRUE,1,Right,187,NY Steak,10,3,Spanish and English,No,Pop;Hip-Hop/Rap;Electronic/Dance;others,2000,5,Coffee
2024/09/04 6:29:06 PM AST,Data Science Certification,Apple,Dogs,FALSE,1,Right,330,Peruvian,0,7,2,Yes,Pop;Rock;Hip-Hop/Rap;others,100,120,Tea
2024/09/04 6:29:17 PM AST,611B: General Studies-STEM AA,Apple,Both,FALSE,2,Right,361,Either Spaghetti or rigatoni,20,8,"Fluent english, broken spanish",Yes,Pop;Rock;Hip-Hop/Rap;Jazz;Classical;Electronic/Dance;Blues;others,1000,0,Neither
2024/09/04 6:29:18 PM AST,Data Science,Apple,Cats,TRUE,0,,88,Pizza,10,12,English,No,Hip-Hop/Rap,4000,180,Tea
2024/09/04 6:29:53 PM AST,Data Science,I don't have one,Dogs,FALSE,0,Right,70,Ramen,0,11,English,Yes,Pop;Jazz;Classical,3000,180,Tea
2024/09/04 6:30:00 PM AST,data science,Apple,Neither,TRUE,0,Right,38,Yams,0,10,"French, English , EWE",Yes,Hip-Hop/Rap;Country,100,24,Coffee
2024/09/04 6:30:05 PM AST,Data Science ,Android,Both,TRUE,0,Right,206,pizza,0,3,2,Yes,Pop;Classical;Blues,10000,0,Coffee
2024/09/04 6:30:13 PM AST,General Education,Apple,Cats,FALSE,1,Right,346,Fried Chicken,10,8,English,No,Pop;Rock;Hip-Hop/Rap,9000,2,Both
2024/09/04 6:30:13 PM AST,Data science,Apple,Cats,FALSE,0,Right,251,none,6,5,"french, english, ewe",No,Hip-Hop/Rap;others,7000,12,Neither
2024/09/04 6:30:24 PM AST,I have recieved my Business Management AA and currently take Business Analytics Certificate,Apple,Both,FALSE,2,Right,269,Sushi,20,5,English,No,Pop;Rock;Hip-Hop/Rap;Classical,10000,60,Neither
2024/09/04 6:31:18 PM AST,Information Technology,Apple,Cats,FALSE,2,Right,217,Pasta,4,4,English and Spanish,Yes,Pop;Hip-Hop/Rap;others,2000,600,Tea
2024/09/04 6:31:27 PM AST,Business,Apple,Both,TRUE,1,Right,171,any,3,2,English and French,No,Pop;Rock;Hip-Hop/Rap;Jazz;Classical;Electronic/Dance;Blues,5000,280,Tea
2024/09/04 6:31:47 PM AST,Data Science,Apple,Cats,FALSE,0,,352,Persian food,0,8,"English, French, Farsi, Azeri",No,Pop;Jazz;Classical;Blues,6000,0,Both
2024/09/04 6:31:58 PM AST,Business,Apple,Cats,FALSE,0,Right,260,fajitas,0,5,English,No,Country,20000,5,Neither
2024/09/04 6:32:04 PM AST,Data Science Certificate,Android,Both,FALSE,0,Left,300,BBQ,0,6,English,No,Pop;Rock;Hip-Hop/Rap;Jazz;Classical;Blues;others,10000,0,Coffee
2024/09/04 6:40:11 PM AST,Data Science,Apple,Cats,FALSE,0,Right,165,Fried Rice,0,2,"Sinhala, English",No,Classical,1000,10,Tea