Country,Region,Rank,HappinessScore,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Norway,Western Europe,1,7.537,7.578744888,11.08178902,0.9501276612,71.086586,0.9530168176,0.2101040334,0.2497113794,0.8490999937,0.2029138058,0.7171597481
Denmark,Western Europe,2,7.522,7.593702316,10.74898911,0.9521000981,71.66249847,0.9554163218,0.1453870982,0.1811475605,0.823667407,0.2057753056,0.5723533034
Iceland,Western Europe,3,7.504,7.476213932,10.76040936,0.9667528272,72.75598145,0.938783288,0.2354787141,0.7268453836,0.8952545524,0.1481600106,0.3650419414
Switzerland,Western Europe,4,7.494,7.473593235,10.95554829,0.9496613741,73.17375946,0.9249969125,0.1678746641,0.3161834776,0.7739970684,0.1958714873,0.819706738
Finland,Western Europe,5,7.469,7.788251877,10.61233807,0.9638264179,71.69696045,0.9621989727,-0.01217365544,0.1924127787,0.7871370912,0.1760657877,0.5975385904
Netherlands,Western Europe,6,7.377,7.458965302,10.79181385,0.9365013242,71.61999512,0.920319736,0.2374404669,0.3631336391,0.8521848917,0.1845198423,0.6695536375
New Zealand,North America and ANZ,7,7.314,7.32718277,10.47576237,0.9549206495,71.61430359,0.942279458,0.2850567102,0.2218874842,0.8174312711,0.1717165709,0.6090154648
Australia,North America and ANZ,8,7.284,7.25703764,10.71182728,0.9499578476,72.78334045,0.9105501771,0.3016932607,0.411346525,0.7800788879,0.2253609747,0.4534069598
Sweden,Western Europe,9,7.284,7.286804676,10.77040577,0.9140167832,73.00654602,0.9345821142,0.155486837,0.2393669188,0.8135477901,0.1750668287,0.5594619513
Israel,Middle East and North Africa,10,7.213,7.331036091,10.40613174,0.9164408445,71.86508179,0.7680763006,0.1371585131,0.7926522493,0.6735913157,0.2764431536,0.3893681467
Costa Rica,Latin America and Caribbean,11,7.079,7.22518158,9.67063427,0.9216971397,69.86730194,0.9356184602,-0.07826852798,0.7423507571,0.8743958473,0.2754400671,0.4074484408
Austria,Western Europe,12,7.006,7.293727875,10.71622562,0.9062178135,72.35971069,0.8900305629,0.1249967366,0.5183038116,0.7475687265,0.1802687198,0.4359079301
United States,North America and ANZ,13,6.993,6.9917593,10.89986897,0.9210028648,69.7709198,0.868496716,0.181657359,0.6811912656,0.8265553117,0.268269062,0.3865350187
Ireland,Western Europe,14,6.977,7.060155392,11.06648731,0.9434819818,71.70978546,0.9053411484,0.2068017423,0.3370847404,0.8333889246,0.2127841264,0.6037996411
Germany,Western Europe,15,6.951,7.074324608,10.71118355,0.8921660781,71.07910156,0.8407278657,0.1353075355,0.414021194,0.7365657091,0.1964348108,0.6229356527
Belgium,Western Europe,16,6.891,6.928347588,10.65765381,0.9216390848,72.14292908,0.8568019867,0.04548146948,0.5430460572,0.7863675952,0.2335976958,0.4497319162
Luxembourg,Western Europe,17,6.863,7.061380863,11.46523094,0.9054355025,72.2013092,0.9028217196,0.02977144532,0.3301735818,0.7658168674,0.1844670027,0.7389220595
United Kingdom,Western Europe,18,6.714,7.103273392,10.58457565,0.9374952912,72.05612946,0.8127332926,0.2810460031,0.4186113477,0.7585718036,0.2095724195,0.440120846
Chile,Latin America and Caribbean,19,6.652,6.320119381,10.03757858,0.8798407912,69.60894012,0.7901164889,-0.03526517749,0.8359875083,0.8384748101,0.2910420895,0.2682833076
United Arab Emirates,Middle East and North Africa,20,6.648,7.039419651,11.12180805,0.8355273604,68.5815506,0.9620166421,0.1911131293,,0.7950348854,0.2075984478,
Brazil,Latin America and Caribbean,21,6.635,6.332929134,9.547693253,0.9046942592,65.45373535,0.7647925615,-0.1872646958,0.794457376,0.7159451246,0.3077169061,0.1654902697
Czech Republic,Central and Eastern Europe,22,6.609,6.789567947,10.39345932,0.9009689689,71.45102692,0.8317855,-0.1845900863,0.8665249944,0.7387439609,0.226649791,0.3438708186
Argentina,Latin America and Caribbean,23,6.599,6.039330006,9.843519211,0.906699121,67.53870392,0.8319661617,-0.1862999052,0.8410524726,0.8094226122,0.2917172611,0.3054302931
Mexico,Latin America and Caribbean,24,6.578,6.410299301,9.741969109,0.7998393774,68.09822845,0.8614051342,-0.2066392154,0.8008930683,0.8426423073,0.2309908867,0.25695315
Singapore,Southeast Asia,25,6.572,6.378437996,11.31704998,0.897349894,75.81240082,0.926127851,0.1204115525,0.1617906839,0.8001143932,0.1793245524,0.9269979596
Malta,Western Europe,26,6.527,6.675665855,10.50269985,0.9373317957,71.82951355,0.9236429334,0.2417624593,0.6904945374,0.7207533717,0.3024431169,0.7520051599
Guatemala,Latin America and Caribbean,27,6.454,6.325118542,8.918908119,0.8264920712,63.38197708,0.9145216942,-0.06172860041,0.7997478843,0.8458657861,0.3080861568,0.4586238563
Uruguay,Latin America and Caribbean,28,6.454,6.336009979,9.917771339,0.9138016701,68.38036346,0.8978516459,-0.1047621518,0.6265819669,0.8358612657,0.2803233564,0.4130321145
Panama,Latin America and Caribbean,29,6.452,6.567658901,10.00271416,0.9119048119,68.04541016,0.8995735049,-0.1640804708,0.8407770991,0.8326888084,0.2423193306,0.3909960985
France,Western Europe,30,6.442,6.635222435,10.56077385,0.9314945936,72.58893585,0.8338901401,-0.1335849613,0.6014860272,0.7620977759,0.2419839352,0.3747935295
Thailand,Southeast Asia,31,6.424,5.938895226,9.688437462,0.8772687316,66.41879272,0.9228968024,0.2024523914,0.8838167787,0.8163217902,0.2315976173,0.6050788164
Taiwan Province of China,East Asia,32,6.422,6.359450817,,0.8911191225,71.20999908,0.7596547604,,0.7427800894,0.8372772932,0.1141231582,0.322822392
Spain,Western Europe,33,6.403,6.230173111,10.44522285,0.9031581879,74.49821472,0.7555607557,-0.04215625301,0.7912687659,0.6250556111,0.3023876548,0.2695859671
Colombia,Latin America and Caribbean,34,6.357,6.157341957,9.490860939,0.9092499614,64.13578033,0.8375546336,-0.1658781469,0.8750181198,0.8369269967,0.2993089557,0.2218825966
Saudi Arabia,Middle East and North Africa,35,6.344,6.294282436,10.81198788,0.8400862813,64.08374023,0.8141421676,-0.1569054127,,0.7748757005,0.305841893,
Trinidad and Tobago,Latin America and Caribbean,36,6.168,6.191859722,10.32386494,0.916029036,61.73831177,0.8591404557,-0.01460438129,0.9113363624,0.8464670777,0.2480988055,0.2725408971
Kuwait,Middle East and North Africa,37,6.105,6.093905449,11.11179256,0.8534913063,65.37895966,0.8841816187,-0.04850428924,,0.6920719147,0.3073208034,
Slovakia,Central and Eastern Europe,38,6.098,6.365509033,10.31394196,0.9133866429,68.77391052,0.7142246962,-0.07207684219,0.9204226732,0.788020432,0.2127224803,0.3416800797
Bahrain,Middle East and North Africa,39,6.087,6.227320671,10.68671322,0.8757471442,66.12399292,0.9058585167,0.1207591742,,0.813570559,0.2897595167,
Nicaragua,Latin America and Caribbean,40,6.071,6.476356506,8.575318336,0.8380436897,66.25178528,0.9221627712,0.01032670494,0.6729633212,0.8497641683,0.3084478974,0.5904251933
Ecuador,Latin America and Caribbean,41,6.008,5.839518547,9.22326088,0.8489417434,67.3420639,0.8791281581,-0.1699554622,0.7335887551,0.8291419744,0.3143434823,0.6405128837
El Salvador,Latin America and Caribbean,42,6.003,6.339318275,9.001176834,0.8289526105,64.31137085,0.7578273416,-0.1802909672,0.7777485847,0.8488506079,0.2684483528,0.2702350616
Poland,Central and Eastern Europe,43,5.973,6.201268196,10.21113968,0.8818541169,69.09680176,0.8308426142,-0.1331340075,,0.6774355173,0.2033877969,0.5024804473
Uzbekistan,Commonwealth of Independent States,44,5.971,6.421447754,8.762778282,0.9421311021,63.16617966,0.9851777554,0.1140294597,0.4646416008,0.838989079,0.2027374953,0.9646904469
Italy,Western Europe,45,5.964,6.198870182,10.4724741,0.9197912216,74.13479614,0.632843256,-0.04338070378,0.8666679263,0.6611807346,0.3228461444,0.2301962972
Russia,Commonwealth of Independent States,46,5.963,5.578742981,10.10368347,0.8961513042,62.97878265,0.7308742404,-0.1585677862,0.8615902066,0.7102302313,0.1945605278,0.5565972328
Japan,East Asia,47,5.920,5.910676479,10.56816864,0.8819612861,75.31729126,0.8493965864,-0.2232967913,0.6591986418,0.7403876185,0.1755121797,0.4124899507
Lithuania,Central and Eastern Europe,48,5.902,6.272940636,10.28265762,0.9263166189,67.04169464,0.7493073344,-0.1822766215,,0.6076131463,0.1951188296,0.3212472796
Algeria,Middle East and North Africa,49,5.872,5.248912334,9.540244102,0.8067538738,65.69918823,0.4366704822,-0.1946701258,0.6997742057,0.6419796348,0.2887100279,
Latvia,Central and Eastern Europe,50,5.850,5.977817535,10.1330328,0.8950987458,65.10926056,0.6995201111,-0.1638314426,0.7983781099,0.6233127713,0.2317531109,0.2640005052
Moldova,Commonwealth of Independent States,51,5.838,5.325530529,8.545788765,0.8307679296,63.70124435,0.5528252125,-0.003178872168,0.9263337851,0.5814887881,0.2594777942,0.1327296346
South Korea,East Asia,52,5.838,5.873887062,10.48973465,0.8069299459,74.04169464,0.5381137133,0.003354593879,0.8506904244,0.6233775616,0.234825626,0.3585821986
Romania,Central and Eastern Europe,53,5.825,6.089904785,10.02889156,0.8112401366,66.85708618,0.838586688,-0.1644207388,0.9256580472,0.7337303758,0.2308361977,0.2983413339
Bolivia,Latin America and Caribbean,54,5.823,5.65055275,8.832608223,0.7786617875,60.34379578,0.8839049339,-0.1159878522,0.8192619681,0.6981953979,0.4339435399,0.4276329577
Turkmenistan,Commonwealth of Independent States,55,5.822,5.229148865,9.702640533,0.908454895,60.39269257,0.7203992009,0.04033754021,,0.5208851099,0.3496276736,
Kazakhstan,Commonwealth of Independent States,56,5.819,5.882351398,10.0718708,0.9140931964,64.19999695,0.7452439666,-0.04917849228,0.7552506924,0.7567622066,0.1714864075,0.7557057738
Slovenia,Central and Eastern Europe,57,5.758,6.166837692,10.35351658,0.9281878471,70.94329071,0.9208626747,-0.0334751159,0.8287947178,0.6151096821,0.2856014371,0.2397797257
Peru,Latin America and Caribbean,58,5.715,5.710936546,9.413349152,0.8301233649,65.40724182,0.8265521526,-0.166747421,0.8953841329,0.789390862,0.3938737214,0.2545953393
Mauritius,Sub-Saharan Africa,59,5.629,6.174117565,9.914654732,0.9101422429,65.5891571,0.9123075008,0.07392941415,0.8181799054,0.7477601767,0.1687211841,0.6146707535
Cyprus,Western Europe,60,5.621,6.062051296,10.36136723,0.8186710477,72.76279449,0.811670661,0.03628666699,0.8512064219,0.7841884494,0.3005166054,0.3126534224
Estonia,Central and Eastern Europe,61,5.611,5.938395977,10.2858448,0.9356863499,67.28438568,0.8617492318,-0.109588325,0.6684022546,0.8052179813,0.1601641029,0.4059462547
Belarus,Commonwealth of Independent States,62,5.569,5.552915096,9.719829559,0.9002557993,66.60596466,0.6209792495,-0.1305820942,0.6541134119,0.5409057736,0.2327680737,0.4479162991
Libya,Middle East and North Africa,63,5.525,5.646852493,,0.8227587938,61.48470688,0.7786958814,,0.6730655432,0.6970493197,0.3793741763,
Turkey,Middle East and North Africa,64,5.500,5.607262135,10.11937332,0.876467824,65.79473114,0.6444342136,-0.246927157,0.6709105372,0.4498009086,0.3128461242,0.5861612558
"Hong Kong S.A.R., China",East Asia,65,5.472,5.362474918,10.91716671,0.8310663104,76.53636169,0.8306572437,0.1229347065,0.4158101976,0.6395334601,0.2005934119,0.5450407267
Philippines,Southeast Asia,66,5.430,5.594270229,8.938967705,0.8510285616,60.25149155,0.9257031083,-0.1478516608,0.7111655474,0.7689814568,0.3406215012,0.8377300501
Serbia,Central and Eastern Europe,67,5.395,5.122031212,9.561537743,0.8837704062,65.68487549,0.6848463416,-0.08141558617,0.8514578342,0.5097212195,0.3264070749,0.5111979842
Jordan,Middle East and North Africa,68,5.336,4.808082581,9.025333405,0.8146645427,64.4178772,0.7662624717,-0.1515228748,,0.6277983785,0.3915051818,
Hungary,Central and Eastern Europe,69,5.324,6.065038681,10.19323826,0.8767475486,67.193367,0.6611659527,-0.1507930309,0.8863613009,0.7351842523,0.1809212714,0.3777705133
Jamaica,Latin America and Caribbean,70,5.311,5.889759064,9.025864601,0.9130298495,65.81879425,0.8606763482,-0.1308327317,0.8827961683,0.7692821622,0.243399635,0.3482017517
Croatia,Central and Eastern Europe,71,5.293,5.343165874,10.01418877,0.7703096867,67.01551056,0.7158222795,-0.1094172522,0.89155972,0.655305028,0.3164882362,0.211000666
Kosovo,Central and Eastern Europe,72,5.279,6.149199963,,0.7920872569,62.39247894,0.8576767445,,0.9251918197,0.7384355664,0.1858790964,0.298196137
China,East Asia,73,5.273,5.099061489,9.635466576,0.7720332146,69.30279541,0.8776175976,-0.1946347356,,0.8210972548,0.214004755,
Pakistan,South Asia,74,5.269,5.830870628,8.519006729,0.6902635694,57.46299744,0.712657094,0.03032811172,0.7139282227,0.5861669779,0.3083410859,0.5574351549
Indonesia,Southeast Asia,75,5.262,5.098401546,9.322167397,0.7955892086,60.58441544,0.8650262952,0.4729738533,0.9004164338,0.8625841737,0.3191715777,0.8257653713
Montenegro,Central and Eastern Europe,76,5.237,5.614798546,9.694497108,0.8811998367,67.14218903,0.6259062886,-0.08489078283,0.7556800246,0.5191281438,0.3497850895,0.3515498936
Morocco,Middle East and North Africa,77,5.235,5.312482834,8.915043831,0.6411930919,65.33885956,0.814258039,-0.2279193848,0.8405024409,0.5592882037,0.3227159083,
Azerbaijan,Commonwealth of Independent States,78,5.234,5.152279377,9.65392971,0.7870393991,63.07531357,0.7310304642,-0.2474806607,0.6525390148,0.5923592448,0.1983186603,0.7665834427
Dominican Republic,Latin America and Caribbean,79,5.230,5.605202675,9.594573975,0.8943681121,63.49599457,0.8553590178,-0.1270921826,0.7604896426,0.7389436364,0.2747455239,0.4599013329
Greece,Western Europe,80,5.227,5.14824152,10.11751747,0.7528995275,71.7803421,0.4383000135,-0.2967349887,0.8722394705,0.6029390097,0.3328307569,0.1398808956
Lebanon,Middle East and North Africa,81,5.225,5.153989792,9.491579056,0.7765830159,68.8638916,0.6045541763,-0.07502814382,0.9107272625,0.5154439211,0.2435492128,0.2177180946
Portugal,Western Europe,82,5.195,5.711499214,10.23670864,0.8999848366,72.15874481,0.9050656557,-0.1825983971,0.8809705377,0.6491510868,0.2942725718,0.5010881424
Bosnia and Herzegovina,Central and Eastern Europe,83,5.182,5.089902401,9.371712685,0.7752952576,67.99448395,0.563798666,0.08958946168,0.9233430624,0.5973416567,0.2707455158,0.1263797134
Honduras,Latin America and Caribbean,84,5.181,6.019985676,8.404379845,0.8433549404,63.75267029,0.8983774185,0.08007407188,0.7834294438,0.8422009349,0.2483833432,0.4955850244
Macedonia,Central and Eastern Europe,85,5.175,5.233866692,9.50363636,0.7999551296,65.8757782,0.752106607,-0.06272842735,0.8556972742,0.5024598837,0.2993905842,0.4429164529
Nigeria,Sub-Saharan Africa,86,5.074,5.321928024,8.58562088,0.7334685326,45.8731575,0.8259055614,0.1133014858,0.8348919749,0.7249905467,0.2359687686,0.5587907434
Vietnam,Southeast Asia,87,5.074,5.175278664,8.7426548,,66.24576569,,,,,,
Tajikistan,Commonwealth of Independent States,88,5.041,5.829234123,7.956589699,0.6626933217,62.97124863,0.832002461,0.1249361858,0.7183368802,0.6026676893,0.2777253389,0.9297930598
Kyrgyzstan,Commonwealth of Independent States,89,5.004,5.629536629,8.11204052,0.882586658,62.89964676,0.859389782,0.166667372,0.874494493,0.7551252246,0.1604383141,0.5616727471
Nepal,South Asia,90,4.962,4.736692429,7.801309109,0.8163833022,61.26595688,0.8451476097,0.1465111375,0.7701771259,0.5705770254,0.3759779334,0.5595785379
Mongolia,East Asia,91,4.955,5.333850384,9.318548203,0.9242507815,62.31261063,0.6746274233,0.1064513475,0.8649522066,0.6751652956,0.2135995179,0.2750583589
South Africa,Sub-Saharan Africa,92,4.829,4.513655186,9.405202866,0.8703132868,55.22930908,0.7874279022,-0.139256224,0.8647819161,0.7848007083,0.2681752443,0.423274219
Tunisia,Middle East and North Africa,93,4.805,4.124342918,9.294288635,0.7173815966,65.88056183,0.4779566526,-0.2335311621,0.8688267469,0.4209618866,0.3771968484,0.2508273125
Palestinian Territories,Middle East and North Africa,94,4.775,4.62813282,,0.8243451118,63.07249832,0.6316112876,,0.8306463361,0.5967655778,0.4160720408,0.4144009352
Egypt,Middle East and North Africa,95,4.735,3.929344177,9.260223389,0.6382263899,61.5737915,0.5925047994,-0.161944747,,0.5393225551,0.4144937992,
Bulgaria,Central and Eastern Europe,96,4.714,5.096901894,9.822961807,0.9417545795,66.4154892,0.6890470386,-0.1600386649,0.9107997417,0.6142167449,0.188637346,0.3260879517
Sierra Leone,Sub-Saharan Africa,97,4.709,4.089562416,7.253018379,0.6522871256,44.38652802,0.7106135488,0.08922567964,0.8483983278,0.6003682017,0.4950400293,0.7375169396
Cameroon,Sub-Saharan Africa,98,4.695,5.07405138,8.128399849,0.6945964098,50.14022446,0.7669450045,-0.03105563112,0.8435856104,0.6323387623,0.3774987459,0.5787755251
Iran,Middle East and North Africa,99,4.692,4.716783047,9.853448868,0.7142329216,65.96455383,0.7306351662,0.1827351153,0.7149413228,0.6936660409,0.4385339022,
Albania,Central and Eastern Europe,100,4.644,4.639548302,9.373718262,0.6376982927,69.05165863,0.7496110201,-0.03514037654,0.876134634,0.6692408919,0.33388412,0.4577375352
Bangladesh,South Asia,101,4.608,4.309771061,8.163092613,0.7125527859,62.50415421,0.8962171674,0.017536195,0.6350144744,0.5688270926,0.2135057598,0.8766464591
Namibia,Sub-Saharan Africa,102,4.574,4.441306114,9.203362465,0.8283390403,55.49542618,0.8104018569,-0.2017658502,0.8313028812,0.7206782103,0.2772521675,0.7458536029
Kenya,Sub-Saharan Africa,103,4.553,4.475654125,8.01025486,0.7146043181,58.68983841,0.8533943892,0.250179261,0.8540003896,0.788452208,0.2302103043,0.6378625631
Mozambique,Sub-Saharan Africa,104,4.550,4.279863358,7.046577454,0.6784636974,49.9577446,0.8226705194,-0.02150259726,0.6821089387,0.648381412,0.3531765044,0.7592343688
Myanmar,Southeast Asia,105,4.545,4.154341698,8.634504318,0.7951838374,57.64122009,0.8860118389,0.62870574,0.6188215017,0.74564749,0.2822855413,0.8241765499
Senegal,Sub-Saharan Africa,106,4.535,4.683024883,7.811985493,0.7437593341,57.98087692,0.6869370341,-0.02906609885,0.8252418637,0.745732069,0.290836066,0.6107227802
Zambia,Sub-Saharan Africa,107,4.514,3.932777405,8.211669922,0.7437539101,53.80378342,0.8231685758,0.129821524,0.7395406365,0.684623301,0.3871888816,0.7170040607
Iraq,Middle East and North Africa,108,4.497,4.462399006,9.622719765,0.6951093674,61.04584503,0.6277220249,-0.03842903301,0.7571088076,0.5052885413,0.5905387402,0.4240507782
Gabon,Sub-Saharan Africa,109,4.465,4.782382965,9.715631485,0.8069411516,57.1261673,0.6523595452,-0.2508322001,0.8683055043,0.6340471506,0.4461242855,0.2869892418
Ethiopia,Sub-Saharan Africa,110,4.460,4.180315495,7.43928194,0.7335397601,56.72826767,0.7171012163,0.01187122427,0.7568989396,0.6085147858,0.304436177,0.7683542967
Sri Lanka,South Asia,111,4.440,4.330945492,9.377954483,0.8227705956,65.29253387,0.8270773888,0.0845772326,0.8442100286,0.7949516177,0.2697275281,0.5175899267
Armenia,Commonwealth of Independent States,112,4.376,4.287736416,9.034710884,0.697924912,65.12568665,0.613697052,-0.132166177,0.8646833301,0.6250138283,0.4371487498,0.2469009906
India,South Asia,113,4.315,4.046111107,8.768456459,0.6067674756,59.50262833,0.8858504295,-0.05450280011,0.7808027864,0.6820909977,0.3179367781,0.8392783999
Mauritania,Sub-Saharan Africa,114,4.292,4.678159714,8.187707901,0.7792252302,53.33533859,0.5274468064,-0.134765625,0.7773140669,0.6371070743,0.2723219395,0.2921097279
Congo (Brazzaville),Sub-Saharan Africa,115,4.291,4.883991241,8.559967995,0.6554405093,55.28945923,0.7777834535,-0.1687489748,0.7627831101,0.5989516377,0.3816405535,0.4698265493
Georgia,Commonwealth of Independent States,116,4.286,4.45077467,9.1690979,0.5904951692,64.34745026,0.8209087849,-0.2314226031,0.5896319747,0.5811277032,0.2096396089,0.2963962257
Congo (Kinshasa),Sub-Saharan Africa,117,4.280,4.311033249,6.625340939,0.6696884036,50.78821945,0.7042395473,0.09579253942,0.809181869,0.5505259037,0.4042620659,0.4784123003
Mali,Sub-Saharan Africa,118,4.190,4.741850376,7.608559132,0.7413594127,49.17869949,0.753213346,-0.06454728544,0.8626551628,0.741835773,0.3927841485,0.5048201084
Ivory Coast,Sub-Saharan Africa,119,4.180,5.037734985,8.180943489,0.6613753438,46.98994064,0.7320979238,-0.09535384178,0.7709402442,0.6977354884,0.35745579,0.5166543126
Cambodia,Southeast Asia,120,4.168,4.585842133,8.202580452,0.7650949359,58.63087463,0.9637746811,0.08671936393,0.8210229278,0.7986166477,0.4082838297,0.7524424791
Ghana,Sub-Saharan Africa,121,4.120,5.481310844,8.326971054,0.669111073,54.8658905,0.7830463648,0.08499047905,0.8386099935,0.7025117278,0.2475189418,0.6702885628
Ukraine,Commonwealth of Independent States,122,4.096,4.311067104,8.967859268,0.8583248854,63.17335129,0.5988755226,0.0161250066,0.9367640018,0.5971121788,0.2347638309,0.1109365299
Uganda,Sub-Saharan Africa,123,4.081,4.000516891,7.442951202,0.7399561405,51.76347733,0.7723441124,0.07171998173,0.81577003,0.7033756375,0.4000257254,0.6551091075
Burkina Faso,Sub-Saharan Africa,124,4.032,4.646891117,7.434531212,0.7847613692,52.3994751,0.6137747169,-0.05128677934,0.7274513245,0.5851724744,0.353821069,0.5406561494
Niger,Sub-Saharan Africa,125,4.028,4.615673542,6.831231594,0.5821095705,51.32594299,0.68355757,-0.01223627105,0.7776600122,0.7311614156,0.4265223742,0.6011172533
Malawi,Sub-Saharan Africa,126,3.970,3.416862965,7.00270319,0.5554227233,54.23464203,0.8479207754,0.021560058,0.7346366048,0.6086665392,0.3120883405,0.6203325391
Chad,Sub-Saharan Africa,127,3.936,4.558937073,7.490785122,0.6606155634,45.98406219,0.6148496866,-0.002929057227,0.7923899293,0.6275031567,0.5382454395,0.473544389
Zimbabwe,Sub-Saharan Africa,128,3.875,3.63830018,7.538187027,0.7541470528,52.67448425,0.7528260946,-0.06600468606,0.7512080073,0.8064283729,0.2240513414,0.6826466918
Afghanistan,South Asia,129,3.794,2.66171813,7.460143566,0.4908800721,52.33952713,0.427010864,-0.1063403487,0.9543925524,0.4963485599,0.3713261783,0.2611785233
Botswana,Sub-Saharan Africa,130,3.766,3.504881144,9.6836586,0.7682586312,58.01321411,0.8173080087,-0.2582492828,0.7314414978,0.6563964486,0.2762525082,0.7708210945
Benin,Sub-Saharan Africa,131,3.657,4.853180885,7.632502556,0.4358789921,51.79475021,0.72680825,-0.04026943445,0.7672346234,0.6147223115,0.4579203427,0.6150892973
Madagascar,Sub-Saharan Africa,132,3.644,4.078620434,7.249253273,0.626331985,56.99448395,0.5703479052,-0.02550791204,0.8472607732,0.7516980767,0.3748380244,0.541916132
Haiti,Latin America and Caribbean,133,3.603,3.823865652,7.403176308,0.6469849944,53.34700775,0.4844291508,0.3845103085,0.6471915841,0.5733667016,0.3216927648,0.435076952
Yemen,Middle East and North Africa,134,3.593,3.253560066,,0.7895550132,54.98103333,0.5951907635,,,0.4551818967,0.295063585,0.2477869838
South Sudan,Sub-Saharan Africa,135,3.591,2.816622496,,0.5568226576,50.02017212,0.4560110867,,0.761269629,0.5856021643,0.5173637867,0.461550504
Liberia,Sub-Saharan Africa,136,3.533,4.424490929,6.629414082,0.6848668456,52.78684998,0.733389914,0.04057675973,0.8668063879,0.6679464579,0.3913305402,0.5549915433
Guinea,Sub-Saharan Africa,137,3.507,4.873722553,7.527477264,0.6340255737,51.15181732,0.7382128239,0.05430758372,0.750026226,0.7044771314,0.4224608839,0.639980793
Togo,Sub-Saharan Africa,138,3.495,4.360805035,7.251669884,0.5078052282,52.25727463,0.7166944146,-0.0377044864,0.7255195975,0.6141889691,0.4258242548,0.4849523604
Tanzania,Sub-Saharan Africa,139,3.349,3.347121239,7.896313667,0.7050102949,56.66548538,0.8004955053,0.1065989062,0.6536060572,0.714645505,0.2553356886,0.9133390188
Central African Republic,Sub-Saharan Africa,140,2.693,3.475862026,,0.319589138,44.64535141,0.645252347,,0.8895660043,0.6138651967,0.5993354917,0.6502848864